id;word;polarity;joy;fear;sadness;anger;surprise;disgust
89;assentiment;positive;0;0;0;0;0;0
90;assidu;positive;0;0;0;0;0;0
91;assistance;positive;0;0;0;0;0;0
92;assistant;positive;0;0;0;0;0;0
93;assourdir;negative;0;1;1;0;0;0
94;asticot;negative;0;0;0;0;0;1
95;astucieux;positive;0;0;0;0;0;0
96;athéiste;negative;0;0;0;0;0;0
97;attarder mental;negative;0;1;1;0;0;1
98;attentif;positive;0;0;0;0;0;0
99;attirer;positive;0;0;0;0;1;0
100;attitude amical;positive;0;0;0;0;0;0
101;attroupement;positive;0;0;0;0;0;0
102;au chômage;negative;0;1;1;0;0;0
103;au gouvernement;positive;0;0;0;0;0;0
104;au premier plan;positive;0;0;0;0;0;0
105;auditif;positive;0;0;0;0;0;0
106;auditeur;positive;0;1;0;0;0;0
107;augure;negative;0;1;0;0;0;0
108;aussi que;positive;0;0;0;0;0;0
109;autonomie;positive;0;0;0;0;0;0
110;autosatisfaction;positive;0;0;0;0;0;0
111;avant dernier;negative;0;0;1;0;0;0
112;avantageux;positive;1;0;0;0;0;0
113;avec amertume;negative;0;0;1;1;0;1
114;avec fermeté;positive;0;0;0;0;0;0
115;avec insistance;positive;0;0;0;0;0;0
116;avec lequel;positive;0;0;0;0;0;0
117;aventureux;positive;0;1;0;0;1;0
118;aventurier;positive;0;1;0;0;1;0
119;avocat;positive;0;1;0;1;0;1
120;avoir du chagrin;negative;0;1;1;0;0;0
121;avouer;negative;0;1;1;0;0;0
122;badaud;positive;0;0;0;0;0;0
123;bafouiller;negative;0;1;0;0;0;0
124;baisse;negative;0;0;1;0;0;0
125;baissière;negative;0;1;1;1;0;0
126;balaise;negative;0;1;0;0;1;0
127;balbutiement;positive;0;0;0;0;0;0
128;banlieusard;negative;0;0;0;0;0;0
129;bannière;positive;0;0;0;0;0;0
130;banquière;positive;0;0;0;0;0;0
131;banshie;negative;0;1;1;1;0;1
132;baraquer;positive;0;1;0;0;0;0
133;barge;negative;0;1;0;0;0;1
134;bâtard;negative;0;1;0;1;0;1
135;batifoler;positive;1;0;0;0;0;0
136;battant;positive;0;0;0;0;0;0
137;batteuse;positive;0;0;0;0;0;0
138;bavardage;negative;0;0;0;0;0;0
139;bavard;negative;0;0;0;0;0;0
140;bazar;negative;0;1;1;1;0;1
141;beau;positive;0;0;0;0;0;0
142;belliqueux;negative;0;1;0;1;0;0
143;bénigne;positive;1;0;0;0;0;0
144;bête;negative;0;0;0;1;0;1
145;beuglement;negative;0;1;1;1;0;0
146;beugler;negative;0;1;1;1;0;0
147;bien;positive;1;0;0;0;0;0
148;bienfaiteur;positive;0;0;0;0;0;0
149;bienheureux;positive;1;0;0;0;0;0
150;bienveillance;positive;0;0;0;0;1;0
151;bijoutier;positive;0;0;0;0;0;0
152;bimensuel;positive;0;0;0;0;0;0
153;bisannuel;positive;0;0;0;0;0;0
154;bisexuel;positive;0;0;0;0;0;0
155;blagueur;positive;0;0;0;0;1;0
156;blanc;positive;0;0;0;0;0;0
157;bloquer;negative;0;1;0;0;1;0
158;boiteux;negative;0;0;1;0;0;0
159;bon à manger;positive;0;0;0;0;0;0
160;bon à rien;negative;0;0;1;1;0;1
161;bord;positive;0;0;0;0;0;0
162;bord de mer;positive;0;0;0;0;0;0
163;boueux;negative;0;0;0;0;0;1
164;bouleverser;negative;0;1;1;1;0;0
165;bourbe;negative;0;1;0;0;0;1
166;bourde;negative;0;1;1;0;0;1
167;bourgeois;negative;0;0;0;0;0;0
168;bourrasque;negative;0;1;0;0;1;0
169;bourru;negative;0;0;0;1;0;1
170;boutonneux;negative;0;0;0;0;0;1
171;boxeuse;positive;0;0;0;1;0;0
172;boycottage;negative;0;0;0;1;0;1
173;brève;positive;0;0;0;0;0;0
174;brillant;positive;0;0;0;0;0;0
175;briller;positive;0;0;0;0;0;1
176;broche;positive;0;0;0;0;0;0
177;brouiller;negative;0;1;0;0;0;0
178;broussailleux;negative;0;0;0;0;0;0
179;brumeux;negative;0;1;1;0;0;0
180;bruyamment;negative;0;0;0;1;0;0
181;bruyère;negative;0;0;0;0;0;0
182;câble;positive;0;0;0;0;1;0
183;cache nez;negative;0;0;0;0;0;0
184;caduque;negative;0;0;1;0;0;1
185;cafouiller;negative;0;0;0;0;0;0
186;cafteur;negative;0;0;0;1;0;0
187;caillouteux;negative;0;1;0;0;0;0
188;caissier;positive;0;0;0;0;0;0
189;calcul;positive;0;0;0;1;0;0
190;calleux;negative;0;0;0;1;0;1
191;calme;positive;0;0;0;0;0;0
192;calmer;positive;0;0;0;0;0;0
193;calomnieux;negative;0;0;0;1;0;1
194;calvaire;negative;0;1;1;1;1;0
195;cambrioleur;negative;0;1;0;0;0;1
196;candidat;positive;0;0;0;0;0;0
197;candide;negative;0;0;1;0;0;0
198;capital;positive;0;0;0;0;0;0
199;capiteux;negative;1;0;0;0;0;0
200;capitonnage;positive;0;0;0;0;0;0
201;capricieux;negative;0;0;0;1;0;0
202;capsule;positive;0;0;0;0;0;0
203;captiver;positive;0;0;0;0;0;0
204;captif;negative;0;1;1;0;0;0
205;capturer au lasso;negative;0;1;0;1;0;0
206;caritatif;positive;0;0;0;0;0;0
207;cascade;positive;0;1;0;0;1;0
208;catcheur;negative;0;1;0;1;0;0
209;caustique;negative;0;1;0;0;0;1
210;cavalier;positive;0;0;0;0;0;0
211;cédant;positive;0;0;0;0;0;0
212;cellier;positive;0;0;0;0;0;0
213;cérémoniel;positive;0;0;0;0;0;0
214;chahut;negative;0;0;0;1;0;1
215;chahuteur;negative;0;0;0;1;0;0
216;chamailleur;negative;0;0;0;1;0;1
217;champion;positive;0;0;0;0;0;0
218;chancelière;positive;0;0;0;0;0;0
219;chanceux;positive;1;0;0;0;0;0
220;chanteur;positive;0;0;0;0;0;0
221;chaotique;negative;0;1;1;0;0;0
222;charade;positive;0;0;0;0;1;0
223;charge;negative;0;1;0;1;1;0
224;charme;positive;0;0;0;0;1;0
225;charnel;negative;0;0;0;0;0;0
226;chasseur;negative;0;1;1;1;0;0
227;chatouilleur;negative;0;0;0;0;0;0
228;chemin;positive;0;0;0;0;0;0
229;chenapan;negative;0;1;0;1;0;1
230;chercheur;positive;0;0;0;0;0;0
231;chétif;negative;0;1;1;0;0;1
232;chevelu;negative;0;0;0;0;0;1
233;chirurgien;positive;0;0;0;0;0;0
234;chômeur;negative;0;1;1;0;0;0
235;cingler;negative;0;1;0;0;1;1
236;circonscription;positive;0;0;0;0;0;0
237;cireur;negative;0;0;0;0;0;1
238;citoyen;positive;0;0;0;0;0;0
239;civil;positive;0;0;0;0;0;0
240;clairvoyant;positive;0;0;0;0;0;0
241;claquement;negative;0;1;0;0;1;0
242;classification;negative;0;1;1;1;0;0
243;clef;positive;0;0;0;0;0;0
244;clément;positive;1;0;0;0;0;0
245;client;positive;0;0;0;0;0;0
246;clore;negative;0;0;1;0;0;0
247;coder;negative;0;0;0;0;0;0
248;coercitif;negative;0;1;1;0;0;0
249;cognitif;positive;0;0;0;0;0;0
250;cohérence;positive;0;0;0;0;0;0
251;cohésion;positive;0;0;0;0;0;0
252;cohésif;positive;0;0;0;0;0;0
253;coiffeur|coiffeuse;positive;0;0;0;0;0;0
254;collaborateur;positive;0;0;0;0;0;0
255;collecter;positive;0;0;0;0;0;0
256;collectionneur;positive;0;0;0;0;0;0
257;collectif;positive;0;0;0;0;0;0
258;colonisateur;negative;0;1;0;0;0;0
259;comateux;negative;0;1;1;0;0;0
260;combattant;positive;0;0;0;1;0;0
261;comique;positive;1;0;0;0;0;0
262;commémoratif;positive;0;0;1;0;0;0
263;commencement;positive;0;0;0;0;0;0
264;commentateur;positive;0;0;0;0;0;0
265;commerçant;positive;0;0;0;0;0;0
266;commission;positive;0;0;0;0;0;0
267;commode;positive;1;0;0;0;0;0
268;commun;positive;0;0;0;0;0;0
269;communicatif;positive;1;0;0;0;0;0
270;compact;positive;0;0;0;0;0;0
271;compensateur;positive;0;0;0;0;0;0
272;compétence;positive;0;0;0;0;0;0
273;compétitif;negative;0;0;0;1;0;0
274;complètement;positive;0;0;0;0;0;0
275;comploter;negative;0;1;0;1;0;0
276;compositeur;positive;0;0;0;0;0;0
277;concevoir;positive;0;0;0;0;0;0
278;concilier;positive;0;0;0;0;0;0
279;concorde;positive;0;0;0;0;0;0
280;concret;positive;0;0;0;0;0;0
281;concurrent;negative;0;1;1;1;0;1
282;concurrentiel;negative;0;0;0;1;0;0
283;conditionnel;positive;0;0;0;0;0;0
284;confection;positive;0;0;0;0;0;0
285;confessionnel;positive;0;0;0;0;0;0
286;confidentiel;positive;0;0;0;0;0;0
287;conflit;negative;0;0;0;1;0;0
288;confrérie féminin;positive;0;0;0;0;0;0
289;confus;negative;0;1;1;0;0;0
290;conjecture;negative;0;1;1;0;0;0
291;conjoint;positive;0;0;0;0;0;0
292;connaisseur;positive;0;0;0;0;0;0
293;connecter;positive;0;0;0;0;0;0
294;connaître;positive;0;0;0;0;0;0
295;conquérant;positive;0;0;0;0;0;0
296;consciencieux;positive;0;0;0;0;0;0
297;consécutif;positive;0;0;0;0;0;0
298;conseiller;positive;0;1;0;1;0;0
299;consentement;positive;0;0;0;0;0;0
300;conservation;positive;0;0;0;0;0;0
301;conservateur;negative;0;0;0;0;1;0
302;consolateur;positive;1;0;0;0;0;0
303;conspiration;negative;0;1;1;1;0;1
304;conspirateur;negative;0;1;0;1;0;1
305;constamment;negative;0;0;0;0;0;0
306;constitutionnel;positive;0;0;0;0;0;0
307;contagieux;negative;0;1;1;0;0;1
308;conte;positive;1;0;0;0;0;0
309;contemporain;positive;0;0;0;0;0;0
310;content;positive;0;0;0;0;0;0
311;contestable;negative;0;0;0;0;0;0
312;conteur;positive;0;0;0;0;0;0
313;contiguë;positive;0;0;0;0;0;0
314;continuel;positive;0;0;0;0;0;0
315;contraindre;negative;0;1;0;0;0;0
316;contrarier;negative;0;1;1;1;0;1
317;contrebandier;negative;0;1;0;1;0;1
318;contrecarrer;positive;0;1;0;1;1;0
319;contremaître;positive;0;0;0;0;0;0
320;contretemps;negative;0;1;1;0;1;1
321;contrevenant;negative;0;1;1;1;0;1
322;contrevenir à;negative;0;0;0;1;0;0
323;contributrice;positive;0;0;0;0;0;0
324;convenance;positive;1;0;0;0;0;0
325;conventionnel;positive;0;0;0;0;0;0
326;copain;positive;0;0;0;0;0;0
327;copieur;negative;0;0;0;1;0;1
328;copine;positive;0;0;0;0;0;0
329;coquillage;negative;0;0;0;0;0;1
330;corallien;positive;0;0;0;0;0;0
331;corbeau;negative;0;0;0;1;0;1
332;cordial;positive;0;0;0;0;0;0
333;corporel;positive;0;0;0;0;0;0
334;correctif;negative;0;1;1;0;0;0
335;correspondant;positive;0;0;0;0;0;0
336;costaud;positive;0;1;0;0;0;0
337;côtier;positive;0;0;0;0;0;0
338;côtière;positive;0;0;0;0;0;0
339;coup de feu;negative;0;1;1;1;0;0
340;courageux;positive;0;1;0;0;0;0
341;courbure;positive;0;0;0;0;0;0
342;coureur;positive;0;0;0;0;0;0
343;courrier;positive;0;0;0;0;0;0
344;courroie;negative;0;1;0;0;0;0
345;courtier;positive;0;0;0;0;0;0
346;coutumier;positive;0;0;0;0;0;0
347;crainte;negative;0;1;0;0;0;0
348;craintif;negative;0;1;1;0;0;0
349;crasseux;negative;0;0;0;0;0;1
350;créancier;positive;0;0;0;0;0;0
351;créateur;positive;0;0;0;0;0;0
352;crémeux;positive;0;0;0;0;0;0
353;crétin;negative;0;0;0;1;0;1
354;creux;negative;0;1;1;0;0;0
355;crevasse;negative;0;1;0;0;1;0
356;cri;negative;0;1;0;1;1;0
357;criminel;negative;0;1;0;1;0;1
358;critiquer;negative;0;0;0;1;0;0
359;critiqueur;negative;0;0;0;1;0;1
360;croître;positive;0;0;0;0;0;0
361;crosse;positive;0;0;0;0;0;0
362;croyant;positive;0;0;0;0;0;0
363;cruel;negative;0;1;1;1;0;1
364;cruellement;negative;0;0;1;0;0;0
365;cueilleur;positive;0;0;0;0;0;0
366;cultiver;positive;0;0;0;0;0;0
367;curatif;positive;0;0;0;0;0;0
368;curé;positive;0;0;0;0;0;0
369;curieux;negative;0;0;0;0;0;0
370;curseur;positive;0;0;0;0;0;0
371;cursus;positive;0;0;0;0;0;0
372;cutané;positive;0;0;0;0;0;0
373;cuve;negative;0;0;0;0;0;1
374;cuvette;positive;0;0;0;0;0;0
375;dangereux;negative;0;1;1;1;1;0
376;danseur;positive;0;0;0;0;0;0
377;de ce monde;positive;0;0;0;0;0;0
378;de garçon;positive;0;0;0;0;0;0
379;de naissance;positive;0;0;0;0;0;0
380;de travers;negative;0;1;1;0;0;1
381;débiteur;negative;0;1;1;0;0;0
382;début;positive;0;0;0;0;0;0
383;débutant;negative;0;1;0;0;0;0
384;déception;negative;0;0;1;1;0;0
385;décès;negative;0;0;1;0;0;0
386;déchaîner;negative;0;1;0;1;1;1
387;déclaration;positive;0;0;0;0;0;0
388;déclarer;positive;0;1;0;0;0;0
389;déclinaison;positive;0;0;1;0;0;0
390;décombre|décombres;negative;0;1;1;0;0;1
391;décontracter;positive;1;0;0;0;0;0
392;décoratif;positive;0;0;0;0;0;0
393;décevoir;negative;0;0;1;1;0;0
394;dédaigneux;negative;0;0;0;1;0;1
395;défaire son valise;positive;0;0;0;0;0;0
396;défaire;negative;0;0;0;0;0;0
397;défectueux;negative;0;0;1;0;0;1
398;défendable;positive;0;0;0;0;0;0
399;défendeur;positive;0;1;1;1;0;0
400;défensif;negative;0;0;0;0;0;0
401;déficience;negative;0;0;1;0;0;0
402;dégât;negative;0;0;1;1;0;1
403;dégénérer;negative;0;1;0;0;0;1
404;dégoÃ»ter;negative;0;1;1;1;0;1
405;délabrer;negative;0;0;1;0;0;0
406;délaver;negative;0;0;1;0;0;0
407;déléguer;positive;0;0;0;0;0;0
408;délicat;negative;0;1;0;0;0;0
409;délicatesse;positive;0;0;0;0;0;0
410;délice;positive;1;0;0;0;0;0
411;délicieux;positive;1;0;0;0;0;0
412;délinquant;negative;0;1;1;1;0;1
413;demanderesse;negative;0;0;1;1;0;1
414;démence;negative;0;1;1;1;0;1
415;dément;negative;0;1;0;1;0;0
416;demeure;positive;0;0;0;0;0;0
417;démonstrateur;positive;0;0;0;0;0;0
418;dentaire;positive;0;0;0;0;0;0
419;dénuer;negative;0;1;1;0;0;0
420;dépareiller;negative;0;0;0;0;0;0
421;déplacer;negative;0;0;0;1;1;0
422;déplaire;negative;0;0;1;0;0;1
423;dépourvue;negative;0;0;1;0;0;0
424;dépourvues;negative;0;0;1;0;0;0
425;dépourvus;negative;0;0;1;0;0;0
426;dépressif;negative;0;1;1;1;0;0
427;dérogation;positive;0;0;0;0;0;0
428;dérouter;negative;0;1;1;0;1;0
429;du conjoint;positive;0;0;0;0;0;0
430;désagrément;negative;0;0;0;1;0;0
431;désapprobateur;negative;0;0;1;1;0;1
432;désastreux;negative;0;1;1;1;0;1
433;désavantage;negative;0;0;1;0;0;0
434;descendant;positive;0;0;0;0;0;0
435;descriptif;positive;0;0;0;0;0;0
436;déshonneur;negative;0;0;1;0;0;1
437;désopiler;positive;0;0;0;0;1;0
438;désordre;negative;0;1;0;1;1;0
439;désorganisation;negative;0;0;0;0;0;0
440;dessiner le contour;positive;0;0;0;0;0;0
441;destroyer;negative;0;1;0;1;0;0
442;destructeur;negative;0;1;1;1;0;1
443;déstructurer;negative;0;1;1;0;0;0
444;détenteur;positive;0;0;0;0;0;0
445;détenir;negative;0;1;1;1;0;1
446;déterminer;positive;0;0;0;0;0;0
447;détourner;negative;0;1;1;0;0;0
448;dévalorisation;negative;0;1;1;0;0;0
449;dévastateur;negative;0;1;1;1;0;1
450;dévoiler;negative;0;1;0;0;1;0
451;dictateur;negative;0;1;1;1;0;0
452;diffamatoire;negative;0;0;0;1;0;1
453;différend;negative;0;0;1;1;0;0
454;différentiel;positive;0;0;0;0;0;0
455;difficile;negative;0;0;1;0;0;0
456;difficulté;negative;0;0;1;0;0;0
457;difforme;negative;0;1;1;0;0;1
458;difformité;negative;0;1;1;0;0;1
459;diminuer;negative;0;0;1;0;0;0
460;diminution;negative;0;0;1;0;0;0
461;dingue;negative;0;1;0;0;1;1
462;directement;positive;0;0;0;0;0;0
463;directeur|directrice de le photographie;positive;0;0;0;0;0;0
464;discipliner;positive;0;0;0;0;0;0
465;discordance;negative;0;0;0;1;0;0
466;discret;positive;0;0;1;0;1;0
467;disgracieux;negative;0;0;0;0;0;1
468;dispute;negative;0;1;1;1;0;1
469;dissident;negative;0;1;0;1;0;0
470;dissimuler;negative;0;1;1;0;0;0
471;distinction;positive;0;0;0;0;1;0
472;distinctif;positive;0;0;0;0;0;0
473;distinguer;positive;0;0;0;0;0;0
474;divertir;positive;1;0;0;0;0;0
475;divin;positive;0;0;0;0;0;0
476;diviser en deux;negative;0;0;0;0;0;0
477;divulgation;negative;0;1;0;0;1;0
478;dominateur;negative;0;0;0;1;0;0
479;donateur;positive;0;0;0;0;0;0
480;donner son approbation à;positive;0;0;0;0;0;0
481;donneur;positive;0;0;0;0;0;0
482;dormeur|dormeuse;positive;0;0;0;0;0;0
483;doux;positive;0;0;1;0;0;0
484;douer;positive;0;0;0;0;0;0
485;douloureux;negative;0;1;1;1;0;1
486;douteur;negative;0;1;0;0;0;1
487;doyen;positive;0;0;0;0;0;0
488;draconien;negative;0;0;1;0;0;0
489;du gouverneur;positive;0;0;0;0;0;0
490;du moi|mois précédent;positive;0;0;0;0;0;0
491;dual;positive;0;0;0;0;0;0
492;dubitatif;negative;0;1;0;0;0;0
493;duperie;negative;0;1;1;1;1;1
494;duplicata;positive;0;0;0;0;0;0
495;duveteux;positive;1;0;0;0;0;0
496;ébouriffer;negative;0;0;0;0;0;1
497;ébranler;negative;0;1;1;0;1;0
498;écailleur;negative;0;0;0;0;0;1
499;écartement;positive;0;0;0;0;0;0
500;échec;negative;0;0;1;0;0;1
501;éclaireur;positive;0;0;0;0;0;0
502;éclat;positive;1;0;0;0;0;0
503;économe;positive;0;0;0;0;0;0
504;écoulement;positive;0;0;0;0;0;0
505;écraser;negative;0;0;1;0;0;0
506;écume;positive;0;0;0;0;0;1
507;écumeur;negative;0;0;0;0;0;1
508;édifice;positive;0;0;0;0;0;0
509;éditeur;positive;0;0;0;0;0;0
510;effervescence;negative;0;1;0;0;1;0
511;effrayer|effrayer;negative;0;1;1;1;0;1
512;effroyable;negative;0;0;1;0;1;0
513;égarer;negative;0;1;1;0;1;0
514;élan;positive;0;0;0;0;0;0
515;électeur;positive;0;0;0;0;0;0
516;éleveur;positive;0;0;0;0;0;0
517;élocution;positive;0;0;0;0;0;0
518;emballeur;positive;0;0;0;0;0;0
519;embarrasser;negative;0;1;0;0;0;1
520;éminent;positive;0;0;0;0;0;0
521;émotif;negative;0;1;1;0;0;0
522;empaqueteur|empaqueteuse;positive;0;0;0;0;0;0
523;employer;positive;0;0;0;0;0;0
524;employer de bureau;positive;0;0;0;0;0;0
525;empoisonner;negative;0;1;1;1;1;1
526;empreinte digital;positive;0;0;0;0;0;0
527;emprunteur;negative;0;0;0;0;0;0
528;en avant;positive;0;0;0;0;0;0
529;en diminution;negative;0;0;1;0;0;0
530;en double;positive;0;0;0;0;0;0
531;en extase;positive;0;0;0;0;1;0
532;en flamme;negative;0;1;0;1;0;0
533;en ivoire;positive;0;0;0;0;0;0
534;en or;positive;0;0;0;0;0;0
535;en totalité;positive;0;0;0;0;0;0
536;enchérisseuse;positive;0;0;0;0;0;0
537;endormir;positive;0;0;0;0;0;0
538;enduire;positive;0;0;0;0;0;0
539;enflammer;negative;0;0;0;1;0;0
540;engager;positive;0;0;0;0;0;0
541;enlever;negative;0;1;1;1;0;0
542;ennemi;negative;0;1;1;1;0;1
543;ennuyeux;negative;0;1;1;1;0;1
544;énormément;negative;0;0;1;0;0;0
545;enquêtrice;positive;0;0;0;0;0;0
546;entaille;negative;0;1;1;0;0;0
547;entente;positive;0;0;0;0;0;0
548;entier;positive;0;0;0;0;0;0
549;entrain;positive;0;0;0;0;0;0
550;entraîneur;positive;0;0;0;0;0;0
551;entre parenthèse;negative;0;0;0;0;0;0
552;entremetteur;positive;0;0;0;0;0;0
553;envieux;negative;0;0;0;1;0;0
554;environ|environs;positive;0;0;0;0;0;0
555;envoyer;positive;0;0;0;0;0;0
556;épars;negative;0;0;1;0;0;0
557;épicier;positive;0;0;0;0;0;0
558;épineux;negative;0;1;1;1;1;1
559;éploré;negative;0;1;1;1;0;0
560;épluchure;negative;0;0;0;0;0;0
561;épouse;positive;0;0;0;0;0;0
562;épouvantable;negative;0;1;1;1;0;1
563;équivalent;positive;0;0;0;0;0;0
564;éroder;negative;0;0;1;0;0;1
565;escarper;negative;0;1;0;0;0;0
566;escroquer;negative;0;1;1;1;1;0
567;espèce;positive;0;0;0;0;0;0
568;espiègle;positive;0;0;0;1;1;0
569;espion;negative;0;1;0;0;1;0
570;esprit du mal;negative;0;1;0;1;0;1
571;estimable;positive;0;0;0;0;0;0
572;étape;positive;0;0;0;0;0;0
573;étendre;negative;0;1;1;1;0;1
574;éternel;positive;0;0;1;0;0;0
575;étonnant;positive;0;0;0;0;1;0
576;étouffer;negative;0;1;1;1;0;0
577;étrange;negative;0;1;0;0;1;1
578;étranger;negative;0;1;1;0;0;1
579;être apprenti;positive;0;0;0;0;0;0
580;être constamment sur le dos de;negative;0;1;1;1;0;0
581;étreindre;positive;0;0;0;0;1;0
582;étreinte;positive;0;0;0;0;0;0
583;étudiant;positive;0;0;0;0;0;0
584;évasif;negative;0;0;0;0;1;0
585;éventuel;negative;0;0;0;0;0;0
586;évitement;negative;0;0;0;0;0;1
587;évocateur;positive;0;0;0;0;0;0
588;examinateur;positive;0;0;0;0;0;0
589;exceptionnel;positive;0;0;0;0;1;0
590;excessif;negative;0;0;1;1;0;0
591;excursion;positive;0;0;0;0;0;0
592;excuser;positive;0;0;0;0;0;0
593;excuser moi;positive;0;0;0;0;0;0
594;exécrer;negative;0;1;0;1;0;1
595;exécuteur testamentaire;positive;0;0;0;0;0;0
596;exhaustif;positive;0;0;0;0;0;0
597;exiger;negative;0;0;0;1;0;0
598;exister;positive;0;0;0;0;0;0
599;existence;positive;1;0;0;0;0;0
600;expatrier;negative;0;1;1;0;0;0
601;expérimentateur;positive;0;0;0;0;0;0
602;expérimenter;positive;0;0;0;0;0;0
603;expert;positive;0;0;0;0;0;0
604;expertise;positive;0;0;0;0;0;0
605;explicatif;positive;0;0;0;0;0;0
606;explosif;negative;0;1;0;1;1;0
607;expulser;negative;0;1;1;1;1;0
608;exténuer;negative;0;0;1;0;0;0
609;extrêmement;negative;0;0;1;0;0;0
610;fabricant;positive;0;0;0;0;0;0
611;fabriquer;positive;0;0;0;0;0;0
612;fabriquer de tout pièce;negative;0;0;0;0;0;0
613;facile;positive;0;0;0;0;0;0
614;facultatif;positive;0;0;0;0;0;0
615;faire attention à;negative;0;1;0;0;0;0
616;faire dissidence;negative;0;0;0;1;0;0
617;faire du shopping;positive;0;0;0;0;1;0
618;faire obstacle à;negative;0;0;1;1;0;0
619;faire un manifestation devant;negative;0;1;0;1;1;0
620;faire un sieste;positive;0;0;0;0;0;0
621;faisable;positive;1;0;0;0;0;0
622;fallacieux;negative;0;0;0;1;0;1
623;familial;positive;0;0;0;0;0;0
624;fanatique;positive;0;1;0;1;0;0
625;farfadet;positive;0;1;0;0;0;0
626;fastidieux;negative;0;0;1;0;0;0
627;FAUX;negative;0;1;1;1;0;1
628;favorable;positive;1;0;0;0;0;0
629;fécond;positive;0;0;0;0;0;0
630;feignant;negative;0;0;0;0;0;1
631;féminin;positive;0;0;0;0;0;0
632;fermier;positive;0;0;0;0;0;0
633;fermoir;positive;0;0;0;0;0;0
634;fervent;positive;0;0;0;0;0;0
635;ferveur;positive;1;0;0;0;0;0
636;festin;positive;1;0;0;0;0;0
637;festif;positive;1;0;0;0;0;0
638;feutrer;positive;0;0;0;0;0;0
639;fidèle;positive;0;0;0;0;0;0
